НоменклатураКод;ЦенаРозн;ЦенаОпт;Свободно;Резерв;Климовск;КлимовскР;Краснодар;КраснодарР;Воронеж;ВоронежР;СанктПетербург;СанктПетербургР;Екатеринбург;ЕкатеринбургР;Ожидается;Дата;
00000003278;2000;1540;71;0;71;0;0;0;0;0;0;0;0;0;;;
00000003281;3180;2460;76;0;76;0;0;0;0;0;0;0;0;0;;;
00000003283;2500;1930;52;0;52;0;0;0;0;0;0;0;0;0;;;
00000003285;2770;2140;74;0;74;0;0;0;0;0;0;0;0;0;;;
00000003287;3370;2600;78;0;78;0;0;0;0;0;0;0;0;0;;;
00000003289;2290;1770;65;0;65;0;0;0;0;0;0;0;0;0;;;
00000003290;2200;1700;65;0;65;0;0;0;0;0;0;0;0;0;;;
00000003292;1760;1360;58;0;58;0;0;0;0;0;0;0;0;0;;;
00000003293;2000;1540;78;0;78;0;0;0;0;0;0;0;0;0;;;
00000003296;2680;2070;6;0;6;0;0;0;0;0;0;0;0;0;;;
00000003297;3290;2540;46;0;46;0;0;0;0;0;0;0;0;0;;;
00000003298;2370;1830;53;0;53;0;0;0;0;0;0;0;0;0;;;
00000003299;2870;2220;48;0;48;0;0;0;0;0;0;0;0;0;;;
00000003300;2870;2220;71;0;71;0;0;0;0;0;0;0;0;0;;;
00000003302;640;390;932;0;927;0;5;0;0;0;0;0;0;0;;;
00000003303;740;450;912;0;907;0;5;0;0;0;0;0;0;0;;;
00000003304;840;460;5;0;0;0;5;0;0;0;0;0;0;0;;;
00000003305;660;400;923;0;918;0;5;0;0;0;0;0;0;0;;;
00000003306;660;400;826;0;824;0;2;0;0;0;0;0;0;0;;;
00000003307;440;270;943;0;938;0;5;0;0;0;0;0;0;0;;;
00000003309;590;360;962;0;962;0;0;0;0;0;0;0;0;0;;;
00000003310;690;470;218;0;218;0;0;0;0;0;0;0;0;0;;;
00000003311;630;380;886;0;886;0;0;0;0;0;0;0;0;0;;;
00000003313;670;550;849;0;849;0;0;0;0;0;0;0;0;0;;;
00000003314;700;580;336;0;336;0;0;0;0;0;0;0;0;0;;;
00000003315;680;560;800;0;800;0;0;0;0;0;0;0;0;0;;;
00000003317;410;290;630;0;607;0;23;0;0;0;0;0;0;0;;;
00000003318;750;460;643;0;643;0;0;0;0;0;0;0;0;0;;;
00000003320;690;510;195;0;190;0;5;0;0;0;0;0;0;0;;;
00000003321;330;200;350;0;350;0;0;0;0;0;0;0;0;0;;;
00000003322;250;150;20;0;0;0;20;0;0;0;0;0;0;0;;;
00000003323;760;410;611;0;586;0;25;0;0;0;0;0;0;0;;;
00000003324;320;240;820;0;817;0;3;0;0;0;0;0;0;0;;;
00000003325;390;290;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000003326;780;570;5;0;0;0;5;0;0;0;0;0;0;0;;;
00000003337;750;530;79;0;79;0;0;0;0;0;0;0;0;0;;;
00000003338;680;470;4;0;4;0;0;0;0;0;0;0;0;0;;;
00000003341;470;330;100;0;100;0;0;0;0;0;0;0;0;0;;;
00000003371;180;130;5;0;5;0;0;0;0;0;0;0;0;0;;;
00000003377;720;500;13;0;13;0;0;0;0;0;0;0;0;0;;;
00000003379;780;550;73;0;73;0;0;0;0;0;0;0;0;0;;;
00000003380;1130;790;100;0;100;0;0;0;0;0;0;0;0;0;;;
00000003381;540;340;3;0;3;0;0;0;0;0;0;0;0;0;;;
00000003382;900;630;177;0;177;0;0;0;0;0;0;0;0;0;;;
00000003384;770;540;197;0;197;0;0;0;0;0;0;0;0;0;;;
00000003389;640;440;17;0;0;0;17;0;0;0;0;0;0;0;;;
00000003395;0;0;5;0;0;0;5;0;0;0;0;0;0;0;;;
00000003396;500;350;14;0;14;0;0;0;0;0;0;0;0;0;;;
00000003397;350;240;190;0;190;0;0;0;0;0;0;0;0;0;;;
00000003401;570;400;57;0;57;0;0;0;0;0;0;0;0;0;;;
00000003429;780;550;51;0;51;0;0;0;0;0;0;0;0;0;;;
00000003431;340;200;20;0;0;0;20;0;0;0;0;0;0;0;;;
00000003435;750;530;20;0;20;0;0;0;0;0;0;0;0;0;;;
00000003796;950;570;56;0;56;0;0;0;0;0;0;0;0;0;;;
00000003805;530;370;235;0;235;0;0;0;0;0;0;0;0;0;;;
00000003810;210;150;54;0;54;0;0;0;0;0;0;0;0;0;;;
00000003818;380;260;60;0;60;0;0;0;0;0;0;0;0;0;;;
00000004157;2150;1610;3;0;3;0;0;0;0;0;0;0;0;0;;;
00000004564;1880;1410;16;0;16;0;0;0;0;0;0;0;0;0;;;
00000004567;2990;2390;137;0;137;0;0;0;0;0;0;0;0;0;;;
00000004568;4190;3270;123;0;122;0;1;0;0;0;0;0;0;0;2;2021-08-05;
00000004569;910;710;73;0;73;0;0;0;0;0;0;0;0;0;;;
00000004570;1600;1240;108;0;108;0;0;0;0;0;0;0;0;0;;;
00000004571;1930;1490;103;0;103;0;0;0;0;0;0;0;0;0;;;
00000004572;2490;2080;76;0;76;0;0;0;0;0;0;0;0;0;;;
00000004573;800;610;247;0;247;0;0;0;0;0;0;0;0;0;;;
00000004574;2050;1810;114;0;114;0;0;0;0;0;0;0;0;0;;;
00000004575;910;800;104;0;104;0;0;0;0;0;0;0;0;0;;;
00000004577;880;630;123;0;123;0;0;0;0;0;0;0;0;0;;;
00000004578;2860;2220;48;0;48;0;0;0;0;0;0;0;0;0;;;
00000004579;1050;820;94;0;94;0;0;0;0;0;0;0;0;0;;;
00000004580;2590;2040;188;0;188;0;0;0;0;0;0;0;0;0;;;
00000004581;560;430;164;0;164;0;0;0;0;0;0;0;0;0;160;2021-08-05;
00000004582;320;240;179;0;179;0;0;0;0;0;0;0;0;0;;;
00000004583;900;710;431;0;431;0;0;0;0;0;0;0;0;0;;;
00000004584;1910;1340;139;0;116;0;23;0;0;0;0;0;0;0;;;
00000004585;480;370;253;0;248;0;5;0;0;0;0;0;0;0;;;
00000004586;400;310;0;7;0;7;0;0;0;0;0;0;0;0;;;
00000004587;340;260;101;0;101;0;0;0;0;0;0;0;0;0;;;
00000004588;350;270;175;0;175;0;0;0;0;0;0;0;0;0;120;2021-08-05;
00000004589;480;380;82;0;82;0;0;0;0;0;0;0;0;0;;;
00000004590;700;540;26;0;26;0;0;0;0;0;0;0;0;0;;;
00000004591;540;430;314;0;287;0;27;0;0;0;0;0;0;0;;;
00000004592;1010;780;480;0;480;0;0;0;0;0;0;0;0;0;;;
00000004624;550;450;91;0;84;0;7;0;0;0;0;0;0;0;;;
00000004625;910;680;130;0;118;0;12;0;0;0;0;0;0;0;;;
00000004626;1070;830;518;0;513;0;5;0;0;0;0;0;0;0;;;
00000004627;590;430;130;0;130;0;0;0;0;0;0;0;0;0;;;
00000004628;1090;850;33;0;33;0;0;0;0;0;0;0;0;0;;;
00000004680;2410;1800;15;0;15;0;0;0;0;0;0;0;0;0;;;
00000004683;3300;2480;50;0;50;0;0;0;0;0;0;0;0;0;;;
00000004685;1860;1400;36;0;36;0;0;0;0;0;0;0;0;0;;;
00000004686;2400;1800;59;0;59;0;0;0;0;0;0;0;0;0;;;
00000004689;1920;1440;86;0;86;0;0;0;0;0;0;0;0;0;;;
00000004691;2040;1530;19;0;19;0;0;0;0;0;0;0;0;0;;;
00000004871;1950;1170;61;8;61;8;0;0;0;0;0;0;0;0;;;
00000004872;2970;2230;137;0;137;0;0;0;0;0;0;0;0;0;;;
00000004873;2580;2000;66;0;66;0;0;0;0;0;0;0;0;0;;;
00000004874;1540;1200;280;0;280;0;0;0;0;0;0;0;0;0;;;
00000004876;1630;1270;240;0;240;0;0;0;0;0;0;0;0;0;;;
00000004877;900;700;215;2;215;2;0;0;0;0;0;0;0;0;;;
00000004879;530;410;480;0;480;0;0;0;0;0;0;0;0;0;;;
00000004880;1360;1060;267;0;267;0;0;0;0;0;0;0;0;0;;;
00000004881;1330;1030;136;0;136;0;0;0;0;0;0;0;0;0;;;
00000004882;1520;1180;386;0;386;0;0;0;0;0;0;0;0;0;;;
00000004883;1670;1230;4;0;0;0;4;0;0;0;0;0;0;0;;;
00000004885;880;670;73;0;73;0;0;0;0;0;0;0;0;0;;;
00000004886;460;360;16;40;16;40;0;0;0;0;0;0;0;0;;;
00000004887;740;580;202;0;202;0;0;0;0;0;0;0;0;0;;;
00000004888;1040;800;190;0;190;0;0;0;0;0;0;0;0;0;;;
00000004890;1140;900;275;0;275;0;0;0;0;0;0;0;0;0;;;
00000004891;2060;1600;90;0;90;0;0;0;0;0;0;0;0;0;;;
00000004892;180;150;209;0;209;0;0;0;0;0;0;0;0;0;;;
00000004893;1880;1460;417;0;417;0;0;0;0;0;0;0;0;0;;;
00000004894;1170;910;177;0;177;0;0;0;0;0;0;0;0;0;;;
00000004895;520;380;125;0;125;0;0;0;0;0;0;0;0;0;;;
00000004896;680;530;877;0;877;0;0;0;0;0;0;0;0;0;;;
00000004897;1210;940;90;0;90;0;0;0;0;0;0;0;0;0;;;
00000004898;1870;1490;149;0;149;0;0;0;0;0;0;0;0;0;;;
00000004899;3190;2470;142;0;142;0;0;0;0;0;0;0;0;0;;;
00000004900;540;420;87;0;87;0;0;0;0;0;0;0;0;0;;;
00000004901;2170;1680;135;20;135;20;0;0;0;0;0;0;0;0;;;
00000004902;1720;1330;531;0;531;0;0;0;0;0;0;0;0;0;;;
00000004903;2360;1830;81;0;81;0;0;0;0;0;0;0;0;0;;;
00000004905;5470;4190;67;0;67;0;0;0;0;0;0;0;0;0;;;
00000004906;1100;870;60;0;50;0;10;0;0;0;0;0;0;0;40;2021-08-05;
00000004907;680;610;136;0;136;0;0;0;0;0;0;0;0;0;;;
00000004908;840;650;148;16;148;16;0;0;0;0;0;0;0;0;;;
00000004909;680;500;86;0;86;0;0;0;0;0;0;0;0;0;;;
00000004910;820;780;71;0;71;0;0;0;0;0;0;0;0;0;;;
00000004912;3720;2890;99;0;99;0;0;0;0;0;0;0;0;0;;;
00000004914;10460;8190;68;0;68;0;0;0;0;0;0;0;0;0;;;
00000005107;1860;1440;241;0;238;0;3;0;0;0;0;0;0;0;;;
00000005108;1130;790;167;0;167;0;0;0;0;0;0;0;0;0;;;
00000005109;860;670;229;0;229;0;0;0;0;0;0;0;0;0;;;
00000005110;690;520;289;6;284;6;5;0;0;0;0;0;0;0;;;
00000005111;290;210;70;10;70;10;0;0;0;0;0;0;0;0;;;
00000005112;1040;770;153;0;153;0;0;0;0;0;0;0;0;0;;;
00000005114;3160;2590;103;0;103;0;0;0;0;0;0;0;0;0;;;
00000005115;4790;4020;62;0;62;0;0;0;0;0;0;0;0;0;;;
00000005116;1260;980;271;0;271;0;0;0;0;0;0;0;0;0;;;
00000005233;610;470;211;0;205;0;6;0;0;0;0;0;0;0;;;
00000005234;1290;1000;209;0;209;0;0;0;0;0;0;0;0;0;;;
00000005235;360;280;61;0;46;0;15;0;0;0;0;0;0;0;;;
00000005236;620;480;145;0;136;0;9;0;0;0;0;0;0;0;;;
00000005237;820;640;82;0;82;0;0;0;0;0;0;0;0;0;;;
00000005238;1400;1080;148;0;148;0;0;0;0;0;0;0;0;0;;;
00000005239;1180;960;42;4;42;4;0;0;0;0;0;0;0;0;;;
00000005240;950;730;200;0;200;0;0;0;0;0;0;0;0;0;;;
00000005241;1390;1080;399;0;399;0;0;0;0;0;0;0;0;0;;;
00000005242;450;310;87;0;87;0;0;0;0;0;0;0;0;0;;;
00000005243;1250;850;119;0;119;0;0;0;0;0;0;0;0;0;;;
00000005244;1070;830;107;0;107;0;0;0;0;0;0;0;0;0;;;
00000005245;3710;2880;134;0;134;0;0;0;0;0;0;0;0;0;;;
00000005246;2830;2220;24;8;24;8;0;0;0;0;0;0;0;0;;;
00000005247;3540;2350;192;0;192;0;0;0;0;0;0;0;0;0;;;
00000005248;2960;2100;121;0;121;0;0;0;0;0;0;0;0;0;;;
00000005249;690;520;94;0;94;0;0;0;0;0;0;0;0;0;;;
00000005250;560;440;43;0;43;0;0;0;0;0;0;0;0;0;;;
00000005251;670;520;60;0;60;0;0;0;0;0;0;0;0;0;;;
00000005252;520;410;59;0;59;0;0;0;0;0;0;0;0;0;280;2021-08-05;
00000005254;4480;3470;78;0;78;0;0;0;0;0;0;0;0;0;;;
00000005362;4200;3880;121;0;121;0;0;0;0;0;0;0;0;0;;;
00000006315;330;260;205;0;205;0;0;0;0;0;0;0;0;0;;;
00000006316;480;370;444;0;444;0;0;0;0;0;0;0;0;0;;;
00000006317;1020;640;175;0;167;0;8;0;0;0;0;0;0;0;;;
00000006318;360;280;111;0;111;0;0;0;0;0;0;0;0;0;;;
00000006319;530;410;183;0;183;0;0;0;0;0;0;0;0;0;;;
00000006320;650;560;54;0;54;0;0;0;0;0;0;0;0;0;120;2021-08-05;
00000006321;380;300;189;0;189;0;0;0;0;0;0;0;0;0;;;
00000006322;470;370;66;0;66;0;0;0;0;0;0;0;0;0;40;2021-08-05;
00000006323;1470;1020;279;6;279;6;0;0;0;0;0;0;0;0;;;
00000006324;2890;1970;81;0;81;0;0;0;0;0;0;0;0;0;;;
00000006326;1020;760;125;0;111;0;14;0;0;0;0;0;0;0;;;
00000006327;650;470;110;0;110;0;0;0;0;0;0;0;0;0;;;
00000006328;2340;1820;11;0;11;0;0;0;0;0;0;0;0;0;36;2021-08-05;
00000006329;1810;1450;79;1;79;1;0;0;0;0;0;0;0;0;;;
00000006330;2480;1830;88;0;88;0;0;0;0;0;0;0;0;0;;;
00000006331;1400;1050;294;0;294;0;0;0;0;0;0;0;0;0;;;
00000006332;4860;3890;51;0;51;0;0;0;0;0;0;0;0;0;;;
00000006333;1980;1540;52;0;52;0;0;0;0;0;0;0;0;0;;;
00000006336;1920;1620;93;0;93;0;0;0;0;0;0;0;0;0;;;
00000006337;1770;1160;134;0;134;0;0;0;0;0;0;0;0;0;;;
00000006338;1400;1080;48;0;48;0;0;0;0;0;0;0;0;0;;;
00000007745;810;630;8;0;8;0;0;0;0;0;0;0;0;0;;;
00000007746;2770;2140;52;0;52;0;0;0;0;0;0;0;0;0;;;
00000007747;740;550;141;0;141;0;0;0;0;0;0;0;0;0;;;
00000007748;3120;2490;316;0;316;0;0;0;0;0;0;0;0;0;;;
00000007749;890;660;72;0;71;0;1;0;0;0;0;0;0;0;8;2021-08-05;
00000007788;2410;1780;424;0;424;0;0;0;0;0;0;0;0;0;;;
00000008372;1380;1070;87;0;87;0;0;0;0;0;0;0;0;0;;;
00000008373;1110;860;60;0;60;0;0;0;0;0;0;0;0;0;;;
00000008374;4040;3130;75;0;75;0;0;0;0;0;0;0;0;0;;;
00000008375;1210;940;117;0;117;0;0;0;0;0;0;0;0;0;;;
00000008376;1320;1020;391;0;391;0;0;0;0;0;0;0;0;0;;;
00000008378;650;520;40;0;40;0;0;0;0;0;0;0;0;0;;;
00000008379;1510;1170;74;0;74;0;0;0;0;0;0;0;0;0;;;
00000008380;710;550;101;0;101;0;0;0;0;0;0;0;0;0;;;
00000008381;1440;860;142;0;142;0;0;0;0;0;0;0;0;0;;;
00000008382;2480;1920;336;0;336;0;0;0;0;0;0;0;0;0;70;2021-08-05;
00000008383;3090;2390;141;0;141;0;0;0;0;0;0;0;0;0;;;
00000008384;430;330;195;0;185;0;10;0;0;0;0;0;0;0;;;
00000008385;2140;1660;162;0;162;0;0;0;0;0;0;0;0;0;12;2021-08-05;
00000008386;1150;890;293;0;293;0;0;0;0;0;0;0;0;0;;;
00000008410;3540;2900;156;0;156;0;0;0;0;0;0;0;0;0;;;
00000008628;600;470;115;0;115;0;0;0;0;0;0;0;0;0;;;
00000008631;670;520;141;0;141;0;0;0;0;0;0;0;0;0;;;
00000008634;3430;2660;57;0;57;0;0;0;0;0;0;0;0;0;;;
00000008723;910;700;120;0;120;0;0;0;0;0;0;0;0;0;;;
00000008724;1160;970;106;0;106;0;0;0;0;0;0;0;0;0;;;
00000009173;380;300;288;16;288;16;0;0;0;0;0;0;0;0;;;
00000009176;750;650;190;0;190;0;0;0;0;0;0;0;0;0;;;
00000009177;1210;930;374;10;374;10;0;0;0;0;0;0;0;0;;;
00000009178;3330;2580;827;0;827;0;0;0;0;0;0;0;0;0;;;
00000009180;1500;1160;172;2;172;2;0;0;0;0;0;0;0;0;;;
00000009181;1190;920;170;0;170;0;0;0;0;0;0;0;0;0;;;
00000009184;880;680;257;0;257;0;0;0;0;0;0;0;0;0;;;
00000009185;2020;1570;322;0;322;0;0;0;0;0;0;0;0;0;;;
00000009186;3740;2900;118;0;114;0;4;0;0;0;0;0;0;0;;;
00000009187;3540;2740;171;0;171;0;0;0;0;0;0;0;0;0;4;2021-08-05;
00000009188;3630;2820;52;0;52;0;0;0;0;0;0;0;0;0;;;
00000009189;1450;1130;351;0;351;0;0;0;0;0;0;0;0;0;;;
00000009190;4490;3490;82;0;82;0;0;0;0;0;0;0;0;0;;;
00000009191;850;660;99;0;99;0;0;0;0;0;0;0;0;0;;;
00000009192;1080;830;99;0;99;0;0;0;0;0;0;0;0;0;;;
00000009193;610;470;280;0;280;0;0;0;0;0;0;0;0;0;;;
00000009194;980;760;215;0;215;0;0;0;0;0;0;0;0;0;74;2021-08-05;
00000009195;760;590;94;0;94;0;0;0;0;0;0;0;0;0;;;
00000009196;510;400;115;0;115;0;0;0;0;0;0;0;0;0;;;
00000009197;670;530;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000009199;410;310;139;0;139;0;0;0;0;0;0;0;0;0;;;
00000009219;4350;3110;108;0;108;0;0;0;0;0;0;0;0;0;;;
00000009220;4210;3080;112;0;112;0;0;0;0;0;0;0;0;0;;;
00000009361;1460;1130;12;0;12;0;0;0;0;0;0;0;0;0;120;2021-08-05;
00000009362;3070;2380;81;0;81;0;0;0;0;0;0;0;0;0;;;
00000009363;2330;1810;45;0;45;0;0;0;0;0;0;0;0;0;;;
00000009364;1430;1110;87;0;87;0;0;0;0;0;0;0;0;0;10;2021-08-05;
00000009365;1670;1300;35;0;35;0;0;0;0;0;0;0;0;0;;;
00000009366;920;710;60;0;60;0;0;0;0;0;0;0;0;0;;;
00000009367;890;690;311;0;311;0;0;0;0;0;0;0;0;0;64;2021-08-05;
00000009368;860;670;339;8;339;8;0;0;0;0;0;0;0;0;35;2021-08-05;
00000009639;750;610;149;0;149;0;0;0;0;0;0;0;0;0;;;
00000009640;1010;830;200;0;200;0;0;0;0;0;0;0;0;0;;;
00000009641;780;610;65;20;65;20;0;0;0;0;0;0;0;0;;;
00000009642;800;550;227;0;227;0;0;0;0;0;0;0;0;0;;;
00000009644;1300;1020;852;0;852;0;0;0;0;0;0;0;0;0;;;
00000009645;3270;2580;578;144;578;144;0;0;0;0;0;0;0;0;120;2021-08-05;
00000009646;1330;1130;197;0;197;0;0;0;0;0;0;0;0;0;;;
00000009966;900;700;141;0;141;0;0;0;0;0;0;0;0;0;;;
00000009967;520;400;123;0;123;0;0;0;0;0;0;0;0;0;;;
00000009996;3310;3050;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000010225;5650;4210;59;0;59;0;0;0;0;0;0;0;0;0;;;
00000010262;1170;910;298;0;298;0;0;0;0;0;0;0;0;0;;;
00000010530;1900;1390;17;0;17;0;0;0;0;0;0;0;0;0;;;
00000004146;540;380;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010495;2670;2560;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000005578;1650;1520;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008399;1290;1240;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000005577;1610;1480;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009407;1070;930;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009408;420;370;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009410;100;90;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009411;1610;1400;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009412;1080;940;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009413;1840;1590;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009414;280;240;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009415;100;90;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009416;640;550;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010021;4130;3360;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010542;1160;1080;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010558;4390;3420;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009789;530;520;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009377;200;180;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000004889;450;330;0;0;0;0;0;0;0;0;0;0;0;0;200;2021-08-05;
00000004875;1410;1090;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000005113;3830;2960;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000004911;3310;2560;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000004913;4040;3290;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000004565;4270;3510;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000004566;2870;2290;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008725;2160;1670;0;0;0;0;0;0;0;0;0;0;0;0;72;2021-08-05;
00000004904;1900;1390;0;0;0;0;0;0;0;0;0;0;0;0;48;2021-08-05;
00000005253;450;340;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008411;420;330;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008389;3240;2570;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008390;1660;1330;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008413;770;610;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000004916;920;750;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000004917;570;450;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000004918;840;670;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009971;3140;2530;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009643;11980;9490;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009198;560;440;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010020;1660;1330;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006334;1070;840;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006335;2890;2260;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008370;450;360;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000005392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000005393;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000005394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000004677;2930;2190;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000004678;2280;1710;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000004679;3510;2630;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000004681;2520;1890;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000004682;1730;1290;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000004684;2080;1560;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000004687;1690;1270;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000004688;2240;1680;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000004690;1980;1490;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008089;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000004693;1870;1400;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000004694;2000;1500;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003815;2300;1240;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003819;360;270;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003330;690;480;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003331;680;470;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003339;2240;1210;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003375;1360;790;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003390;900;680;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003400;780;550;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003403;480;360;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003404;570;400;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003406;1170;740;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003426;720;500;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003427;300;210;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003432;690;480;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003438;440;290;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003812;640;410;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003817;420;290;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003367;630;420;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003392;550;480;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003319;740;460;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003803;900;500;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003804;630;360;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003807;1200;900;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003370;720;540;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003373;670;400;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003374;360;280;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003402;640;460;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003425;640;330;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003433;570;310;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003434;460;260;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003794;1240;740;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003795;1050;630;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003797;750;450;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003798;540;320;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000003799;700;420;0;0;0;0;0;0;0;0;0;0;0;0;;;
